ytid,start,end,labels,cifar_class,cifar_label
dWOhJNBRv40,590.0,600.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
dvBwMOqlco8,260.0,270.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
eCC6ZbZvG8I,90.0,100.0,"/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
g2tRAxYP9YQ,170.0,180.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
g9NycyNlkLs,480.0,490.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
gc6s9fopyg8,20.0,30.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
hQGF6bi1t6w,20.0,30.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
i3LjPZrO5Ho,26.0,36.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
irutvIeDEVs,440.0,450.0,"/m/02l6bg,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
j4EjXoLGSxE,130.0,140.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
kjRaoBHgWXQ,30.0,40.0,"/m/07yv9,/m/0cmf2",airplane,0
koRoV31dRog,40.0,50.0,"/m/014yck,/m/02mk9,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
mmRtJhecp14,520.0,530.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
qYZo8SyvCzU,210.0,220.0,"/m/07hvw1,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
rFAu82IS-hU,30.0,40.0,"/m/0cmf2,/m/0k5j",airplane,0
smTo8842-5c,80.0,90.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
yYdYMd4RX_w,30.0,40.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
ykjA2N1EeZY,20.0,30.0,"/m/04rlf,/m/0cmf2",airplane,0
0QqQ1j1vBgw,30.0,40.0,"/m/02l6bg,/m/02mk9,/m/04rlf,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
2vvtR9Xwzp0,40.0,50.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
31v7_LzDOiI,10.0,20.0,"/m/04229,/m/0cmf2,/m/0k5j",airplane,0
4v5EzR3qeW0,40.0,50.0,"/m/014yck,/m/07yv9,/m/0cmf2",airplane,0
5nh_9STUFoc,110.0,120.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
6aFke8y0WSY,190.0,200.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
7z3fXPKfxZY,130.0,140.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
98zUd-1I4mU,30.0,40.0,"/m/02l6bg,/m/04229,/m/0cmf2,/m/0k5j",airplane,0
9hFe3dE4HZg,190.0,200.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
A68tYY9AA9Q,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/09ct_,/m/0cmf2,/m/0k5j",airplane,0
BvtZGHZbC1c,50.0,60.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
CG_FRQwVoCk,90.0,100.0,"/m/07phhsh,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
DU3cNZdlylQ,60.0,70.0,"/m/014yck,/m/04rlf,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
DkwFXd5nYLE,40.0,50.0,"/m/01bjv,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
E8sYrDYcIxg,30.0,40.0,"/m/07pyf11,/m/0cmf2",airplane,0
EWLtHjhE79Q,30.0,40.0,"/m/014yck,/m/07qqyl4,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
FoswMlvrv8o,10.0,20.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
J2nDnAerah0,30.0,40.0,"/m/07yv9,/m/09ct_,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
L8TboIEJyg8,20.0,30.0,"/m/02mk9,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
LY4QU91tHjQ,30.0,40.0,"/m/02l6bg,/m/04229,/m/0cmf2,/m/0k5j",airplane,0
LhRNnXaSsCk,30.0,40.0,"/m/012f08,/m/01bjv,/m/02l6bg,/m/02mk9,/m/07q2z82,/m/07r04,/m/07yv9,/m/0btp2,/m/0cmf2,/m/0k4j",airplane,0
MaPm9hh8xeI,50.0,60.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
MnLVDYBkjM4,260.0,270.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
NIRF2ugmr9o,30.0,40.0,"/m/09t49,/m/0btp2,/m/0cmf2",airplane,0
NKMN9rU1x-A,290.0,300.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
OXJ9Ln2sXJ8,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Poi51D2XdPQ,510.0,520.0,"/m/02l6bg,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Qj4wBOG3F64,30.0,40.0,"/m/02mk9,/m/04229,/m/0cmf2,/m/0k5j",airplane,0
R2Aq_j1TDSs,40.0,50.0,"/m/02l6bg,/m/09ct_,/m/0cmf2",airplane,0
RKpQP1AAtBk,260.0,270.0,"/m/014yck,/m/07yv9,/m/0cmf2,/t/dd00128",airplane,0
Rm7cZN0IcrY,40.0,50.0,"/m/014yck,/m/0cmf2,/t/dd00129",airplane,0
SUKCp4pK5LY,0.0,10.0,"/m/02mk9,/m/04229,/m/0cmf2,/m/0k5j",airplane,0
TaFbk-RJrLI,0.0,10.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
Tdu27y8ryvk,430.0,440.0,"/m/014yck,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
UJEq16ceVd0,210.0,220.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
UWOaC3qgE3A,27.0,37.0,"/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Uv3K_pEUlX8,20.0,30.0,"/m/014yck,/m/07yv9,/m/09ct_,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
VX-smEY_SZQ,60.0,70.0,"/m/014yck,/m/04229,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
XGammZXc2Eo,30.0,40.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
XfPsF6KnR34,390.0,400.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/t/dd00128",airplane,0
Yle0bNfmf0E,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
Yw7J2GszNY8,20.0,30.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
Znx8CjueJqs,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
_GcfZXqPJf4,110.0,120.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
akjMGNYTAdA,30.0,40.0,"/m/07pzfmf,/m/0cmf2,/m/0k5j",airplane,0
bKCwHwwi2w0,160.0,170.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
cEgiqCZLJqQ,280.0,290.0,"/m/014yck,/m/02mk9,/m/07yv9,/m/0cmf2",airplane,0
d-ESQK6L9-o,0.0,10.0,"/m/0cj0r,/m/0cmf2",airplane,0
dc0SNVwdDSs,30.0,40.0,"/m/02l6bg,/m/02mk9,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
dzIT-zvyVlY,590.0,600.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
fM62ac4UkMI,260.0,270.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
hQ3Vg0xgaqk,150.0,160.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
hhzoH17yf3o,20.0,30.0,"/m/014yck,/m/07yv9,/m/09x0r,/m/0cmf2,/m/0k5j,/t/dd00129",airplane,0
oT2gcsEeceQ,62.0,72.0,"/m/04229,/m/0cmf2,/m/0k5j",airplane,0
pnplikV_qrU,250.0,260.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
qxnBcZ0CETg,250.0,260.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
sXBbM4fvMSY,40.0,50.0,"/m/014yck,/m/07hvw1,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
srBIQiHcOTQ,20.0,30.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j,/t/dd00128",airplane,0
t_xFdZ09DQE,0.0,9.0,"/m/07pyf11,/m/09x0r,/m/0cmf2,/m/0k5j",airplane,0
uZQ5JyGXTI4,60.0,70.0,"/m/02l6bg,/m/07yv9,/m/0cmf2",airplane,0
vQ1a7oK-C78,80.0,90.0,"/m/02l6bg,/m/04229,/m/0cmf2,/m/0k5j",airplane,0
vpki2tKlSgQ,30.0,40.0,"/m/02l6bg,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
w2zE86YAGf8,30.0,40.0,"/m/04229,/m/0cmf2,/m/0k5j",airplane,0
xAyFvqkINEA,30.0,40.0,"/m/01h82_,/m/07pb8fc,/m/07yv9,/m/09x0r,/m/0cmf2",airplane,0
z4HX8-du2nQ,70.0,80.0,"/m/07yv9,/m/09ct_,/m/0cmf2,/m/0k5j",airplane,0
zp2Gt1zb5hE,60.0,70.0,"/m/014yck,/m/07yv9,/m/0cmf2,/m/0k5j",airplane,0
-K4R9SXZZsk,10.0,20.0,"/m/012f08,/m/07yv9,/m/096m7z,/m/0k4j",automobile,1
-jBWkHhQNew,30.0,40.0,"/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130",automobile,1
-oYYvzarYDs,70.0,80.0,"/m/07rknqz,/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
-t1zgGxlhPM,290.0,300.0,"/m/07hvw1,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
-uBbPbRML3U,290.0,300.0,"/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
-wfRMEaJkRk,30.0,40.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j",automobile,1
-x2aAKUtNRw,30.0,40.0,"/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130",automobile,1
-z0q4AgXQwo,30.0,40.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
01xpKyI0rXA,180.0,190.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
02tl_ek8f9I,30.0,40.0,"/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j",automobile,1
0IUR0a8uR5c,30.0,40.0,"/m/07rknqz,/m/0h9mv,/m/0k4j",automobile,1
0O9ZfRn69i8,30.0,40.0,"/m/07yv9,/m/09t49,/m/0k4j",automobile,1
0bR-EsIOoz0,10.0,20.0,"/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
0hipL0SkXMo,40.0,50.0,"/m/02mk9,/m/07phhsh,/m/07yv9,/m/0k4j",automobile,1
0jBiK305ZIY,30.0,40.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j",automobile,1
0mgwBb6HO-k,420.0,430.0,"/m/012f08,/m/07yv9,/m/0h9mv,/m/0k4j",automobile,1
11Pn3yJifSQ,4.0,14.0,"/m/02mk9,/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130",automobile,1
1AwDdAiWVqY,30.0,40.0,"/m/07yv9,/m/0gvgw0,/m/0k4j",automobile,1
1ef2v0i7w0w,21.0,31.0,"/m/04rlf,/m/07yv9,/m/09x0r,/m/0gvgw0,/m/0k4j",automobile,1
1qQM4y2o8bo,460.0,470.0,"/m/012f08,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j",automobile,1
2-1wY_Ndtgw,10.0,20.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00129,/t/dd00130",automobile,1
24OPDiqr6VA,0.0,10.0,"/m/07yv9,/m/0brhx,/m/0k4j",automobile,1
2BK1ZmLWSDU,380.0,390.0,"/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
2Ck7MX5LEck,90.0,100.0,"/m/03v3yw,/m/07yv9,/m/0k4j",automobile,1
2IpCIYF0lVU,29.0,39.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
2OyaXZ0sFsg,410.0,420.0,"/m/07pyf11,/m/07yv9,/m/0k4j",automobile,1
32V2zsK7GME,110.0,120.0,"/m/07phhsh,/m/07yv9,/m/0k4j",automobile,1
391V6NBnd0U,30.0,40.0,"/m/012f08,/m/04rlf,/m/07rknqz,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
3Nzt343kCl4,30.0,40.0,"/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
3OayXXRtdk4,70.0,80.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
3esyOI3cuPI,340.0,350.0,"/m/02mk9,/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
3pdtjFxxBs0,12.0,22.0,"/m/07yv9,/m/0gvgw0,/m/0k4j",automobile,1
3ucGON1gEZk,500.0,510.0,"/m/07yv9,/m/0h9mv,/m/0k4j",automobile,1
45MeR1d_qck,30.0,40.0,"/m/02rhddq,/m/07yv9,/m/0k4j",automobile,1
4HeUmlSg-jY,300.0,310.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00066",automobile,1
4aN_Vvn1lBY,30.0,40.0,"/m/01bjv,/m/07qv_d5,/m/07yv9,/m/0btp2,/m/0k4j",automobile,1
4y0KbKCyKus,140.0,150.0,"/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128",automobile,1
4z6mZw4I5Uo,20.0,30.0,"/m/02mk9,/m/07qn4z3,/m/07yv9,/m/0k4j",automobile,1
51Wq8OYk5sU,30.0,40.0,"/m/02mk9,/m/07pb8fc,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00130",automobile,1
55jtGZAKoHQ,11.0,21.0,"/m/07r04,/m/07yv9,/m/09x0r,/m/0gvgw0,/m/0k4j",automobile,1
58SoI7YKr4o,30.0,40.0,"/m/02mk9,/m/07q2z82,/m/0k4j,/t/dd00066",automobile,1
59Mt7J_0KT4,0.0,10.0,"/m/01hgjl,/m/07yv9,/m/0k4j",automobile,1
5P3aq2BJYa0,480.0,490.0,"/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128",automobile,1
5Q9SNbMA11Y,30.0,40.0,"/m/012f08,/m/03v3yw,/m/07q2z82,/m/07yv9,/m/0k4j",automobile,1
5oirFKi6Sfo,190.0,200.0,"/m/07yv9,/m/0btp2,/m/0k4j,/m/0ltv",automobile,1
67kp76gnDpI,30.0,40.0,"/m/02mk9,/m/04rlf,/m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066",automobile,1
6F6-t75PGFU,140.0,150.0,"/m/04gxbd,/m/07yv9,/m/0k4j",automobile,1
6RcxitW4w1U,20.0,30.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
6hEx-wgrdAw,40.0,50.0,"/m/02dgv,/m/07yv9,/m/0k4j",automobile,1
6ibh38autyA,30.0,40.0,"/m/02mk9,/m/07pb8fc,/m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066,/t/dd00130",automobile,1
6pifhdQ0pdg,10.0,20.0,"/m/012f08,/m/07r04,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j",automobile,1
6wG8ayyFfv0,90.0,100.0,"/m/04rlf,/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
6xwYlluHhXs,0.0,10.0,"/m/07rknqz,/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
7lyqru6t1SQ,280.0,290.0,"/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j,/t/dd00128",automobile,1
8M6d2W0KQd4,30.0,40.0,"/m/07q2z82,/m/07yv9,/m/0k4j,/t/dd00067",automobile,1
8N5XxcJ7QOU,20.0,30.0,"/m/01b_21,/m/04rlf,/m/07yv9,/m/09x0r,/m/0dl9sf8,/m/0k4j",automobile,1
8RAisf7vbeE,20.0,30.0,"/m/07qfr4h,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
8iy3RjnVats,60.0,70.0,"/m/07szfh9,/m/07yv9,/m/096m7z,/m/0k4j",automobile,1
8nggB29pv1Q,30.0,40.0,"/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00066",automobile,1
9AOscWZLuk8,60.0,70.0,"/m/012f08,/m/04rlf,/m/07rknqz,/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
9BzZvj5W09s,60.0,70.0,"/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00128",automobile,1
9P286DXo8Nk,60.0,70.0,"/m/07yv9,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
9VwjH2kglAA,10.0,20.0,"/m/04gxbd,/m/07yv9,/m/0k4j",automobile,1
9b0eMAf1rXo,300.0,310.0,"/m/07pyf11,/m/07yv9,/m/0k4j,/t/dd00128",automobile,1
9mHCbvooMnk,330.0,340.0,"/m/012f08,/m/07hvw1,/m/07yv9,/m/0k4j",automobile,1
9q__LUedHbc,20.0,30.0,"/m/07rknqz,/m/07yv9,/m/0k4j",automobile,1
AGHHdzjFNGI,340.0,350.0,"/m/04rlf,/m/07qv_d5,/m/07yv9,/m/0912c9,/m/0k4j",automobile,1
APit6hIABQA,180.0,190.0,"/m/07phhsh,/m/07yv9,/m/0k4j",automobile,1
Aax8cjFZZ2o,0.0,10.0,"/m/02y_763,/m/07yv9,/m/0k4j",automobile,1
AcO38gxUdoo,30.0,40.0,"/m/012f08,/m/07rknqz,/m/07yv9,/m/0k4j",automobile,1
AiQoXi32QIA,0.0,10.0,"/m/07qv_d5,/m/07r04,/m/07yv9,/m/0912c9,/m/0k4j",automobile,1
B4l-0zH00nI,110.0,120.0,"/m/07rknqz,/m/07yv9,/m/09x0r,/m/0h9mv,/m/0k4j,/m/0ltv",automobile,1
B9n4a5ciI48,16.0,26.0,"/m/02mk9,/m/07pb8fc,/m/07yv9,/m/0k4j,/t/dd00066,/t/dd00130",automobile,1
BM0MSMJBCrA,30.0,40.0,"/m/012f08,/m/07pyf11,/m/07q2z82,/m/07yv9,/m/0btp2,/m/0k4j",automobile,1
BZTSmF9zt_Q,30.0,40.0,"/m/02mk9,/m/07yv9,/m/0k4j,/t/dd00066",automobile,1
BeILNH0jSVg,90.0,100.0,"/m/02mk9,/m/07qv_d5,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
BslDb2Uresk,10.0,20.0,"/m/012f08,/m/07qv_d5,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j",automobile,1
C1EjihFnp3o,30.0,40.0,"/m/02mk9,/m/07q2z82,/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066",automobile,1
C1O7V0jiiNw,290.0,300.0,"/m/07yv9,/m/0k4j,/t/dd00129,/t/dd00130",automobile,1
CE8hMDPAJBk,80.0,90.0,"/m/01jwx6,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
CNOv30jkKSU,30.0,40.0,"/m/012f08,/m/07q2z82,/m/07yv9,/m/0k4j",automobile,1
CeNquhcDSgc,190.0,200.0,"/m/04gxbd,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
Cu7uy6m4rw0,90.0,100.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
Cwur_jvxMzY,360.0,370.0,"/m/025wky1,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
DPModTuJA_M,21.0,31.0,"/m/07yv9,/m/0btp2,/m/0k4j",automobile,1
DpbEoAEI0Sk,110.0,120.0,"/m/03v3yw,/m/07yv9,/m/09x0r,/m/0k4j",automobile,1
DwMIru734Gw,60.0,70.0,"/m/012f08,/m/04gxbd,/m/07yv9,/m/0k4j",automobile,1
E-F3eGRXiBI,60.0,70.0,"/m/07yv9,/m/0btp2,/m/0k4j",automobile,1
E1wV4qdUVSk,0.0,10.0,"/m/07rknqz,/m/07yv9,/m/0k4j,/m/0ltv",automobile,1
E3YwyNv5zwk,20.0,30.0,"/m/07yv9,/m/0h9mv,/m/0k4j",automobile,1
E9MhfMjq6FI,90.0,100.0,"/m/07qv_d5,/m/07yv9,/m/0k4j,/t/dd00128",automobile,1
EUn5O3SywCE,30.0,40.0,"/m/012ndj,/m/03j1ly,/m/07yv9,/m/0btp2,/m/0k4j",automobile,1
EkmKuR0RkZM,15.0,25.0,"/m/07yv9,/m/09x0r,/m/0k4j,/t/dd00066",automobile,1
ExqedxdXuBc,70.0,80.0,"/m/07hvw1,/m/07yv9,/m/09x0r,/m/0btp2,/m/0k4j",automobile,1
F2ALY1sxoPI,80.0,90.0,"/m/07hvw1,/m/07yv9,/m/0k4j",automobile,1
